0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object_category ,object_type ,offer_type ,ref_object ,object_street ,object_zip ,object_city ,object_state ,object_country ,object_title ,object_description ,selling_price ,rent_net ,rent_extra ,price_unit ,picture_1_filename ,picture_2_filename ,picture_3_filename ,picture_4_filename ,picture_5_filename ,picture_1_title ,picture_2_title ,picture_3_title ,picture_4_title ,picture_5_title ,picture_1_description ,picture_2_description ,picture_3_description ,picture_4_description ,picture_5_description ,movie_filename ,movie_title ,movie_description ,document_filename ,document_title ,document_description ,url ,agency_id ,agency_name ,agency_name_2 ,agency_reference ,agency_street ,agency_zip ,agency_city ,agency_country ,agency_phone ,agency_mobile ,agency_fax ,agency_email ,agency_logo ,visit_name ,visit_phone ,visit_email ,visit_remark ,publish_until ,destination ,picture_6_filename ,picture_7_filename ,picture_8_filename ,picture_9_filename ,picture_6_title ,picture_7_title ,picture_8_title ,picture_9_title ,picture_6_description ,picture_7_description ,picture_8_description ,picture_9_description ,picture_1_url ,picture_2_url ,picture_3_url ,picture_4_url ,picture_5_url ,picture_6_url ,picture_7_url ,picture_8_url ,picture_9_url ,distance_motorway ,ceiling_height ,hall_height ,maximal_floor_loading ,carrying_capacity_crane ,carrying_capacity_elevator ,isdn ,wheelchair_accessible ,animal_allowed ,ramp ,lifting_platform ,railway_terminal ,restrooms ,water_supply ,sewage_supply ,power_supply ,gas_supply ,municipal_info ,own_object_url ,billing_anrede ,billing_first_name ,billing_name ,billing_company ,billing_street ,billing_post_box ,billing_zip ,billing_place_name ,billing_land ,billing_phone_1 ,billing_phone_2 ,billing_mobile ,billing_language ,publishing_id ,delivery_id ,picture_10_filename ,picture_11_filename ,picture_12_filename ,picture_13_filename ,picture_10_title ,picture_11_title ,picture_12_title ,picture_13_title ,picture_10_description ,picture_11_description ,picture_12_description ,picture_13_description ,picture_10_url ,picture_11_url ,picture_12_url ,picture_13_url ,commission_sharing ,commission_own ,commission_partner ,agency_logo_2 ,number_of_floors ,year_renovated ,flat_sharing_community ,corner_house ,middle_house ,building_land_connected ,gardenhouse ,raised_ground_floor ,new_building ,old_building ,under_building_laws ,under_roof ,swimmingpool ,minergie_general ,minergie_certified ,last_modified ,advertisement_id ,sparefield_1 ,sparefield_2 ,sparefield_3 ,sparefield_4 ,sparefield_5,sparefield_6,sparefield_7,sparefield_8,sparefield_9,sparefield_10
INDUS,5,RENT,1850,Wassergasse 50/52,9000,St. Gallen,SG,CH,Lager im Zentrum von St. Gallen zu vermieten,In St. Gallen vermieten wir diese Lagerfläche:<br /><br />• 81.1 m2 Lagerfläche im 1. UG<br />• Lift vorhanden<br />• Stromkosten extra<br /><br />Keine Parkplätze vorhanden.<br /><br />Haben wir Ihr Interesse geweckt? Gerne vereinbaren wir mit Ihnen einen individuellen Besichtigungstermin.,,,,MONTHLY,f3df561c-70b3-4949-8fbb-23aee21f8bf8.jpg,4b9a06cd-1903-4235-a4ee-7dc975e34f0f.jpg,e9620080-b619-48d8-99b5-3091cc435e0c.jpg,,,Aussenansicht,Innenansicht,Grundriss,,,,,,,,,,,,,,,wic,,,Stucki Saskia,Grüzefeldstr. 41,8401,Winterthur,CH,052 268 87 55,,052 268 88 44,,,,,,"Wincasa AG, Saskia Stucki, Tel. 052 268 87 55, saskia.stucki@wincasa.ch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,1,RENT,1851,Weidwiesenweg 5,8580,Amriswil,TG,CH,Naturnah und doch zentral...,"Die Überbauung Weidwiesen wird auch hohen Ansprüchen gerecht. Alle Wohnräume sind mit angenehmem, hellen Eichenparkett ausgelegt. Die raumhohen Fensterfronten sorgen für eine besonders wohnliche Ambiance mit viel Sonnenlicht in den Innenräumen.<br /><br />In den offen gestalteten Küchen erwarten Sie energieeffiziente Einbaugeräte. Auch die Bäder sind grosszügig konzipiert und erfreuen mit modernen Materialien. Für zusätzlichen Komfort sorgt der eigene Waschturm pro Wohnung<br /><br />Eine Parkmöglichkeit kann dazugemietet werden.",1910,1650,260,MONTHLY,bcf1e04f-4bbd-4ed9-91ef-19308f0c166b.jpg,ed817bbc-b0f3-40ba-bc52-3ac5d18648e2.jpg,8fbfcd67-b8d5-40d9-869d-e5dd93b64947.jpg,c052ef9c-4dbd-4e48-8205-fc880cfc0632.jpg,496322c6-043d-4f51-898d-330159cfb858.jpg,Innenansicht,Innenansicht,Innenansicht,Innenansicht,Küche,,,,,,,,,,,,http://www.weidwiesen.ch/wohnen-amriswil,wic,,,Bernet Sula,St. Leonhard-Str. 39,9001,St. Gallen,CH,071 421 69 69,,071 421 69 99,,,,,,"Wincasa AG, Frau Miller (zu Bürozeiten)<br />071 421 69 39",,,b56059b5-4a43-4a6c-83a5-15d9d57893d2.jpg,fd4e7d99-4d78-4051-aadf-20cbcaa1fd9b.jpg,7c834e1d-3b4d-458f-bf69-955065868e79.jpg,7ab9d41f-d7a1-45fc-85cc-84b1fc176e9f.jpg,Bad,Bad,Korridor,Balkon/Terrasse/Sitzplatz,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,9a0c1d7c-1068-4537-8ff4-53a881b9e1f3.jpg,,,,Grundriss,,,,,,,,,,,,,,,,,,,N,N,N,,,Y,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,1,RENT,1852,Wiesentalstr. 12,9000,St. Gallen,SG,CH,Mieten ohne Kaution,- Ruhige Lage (nur Quartierstrasse)<br />- Küche mit Glaskeramikherd <br />- Wohnzimmer/Korridor Parkett<br />- Zimmer Parkett<br />- Bad/WC<br />- Balkon<br />- Nähe Bus- und Bahnverbindung<br />- kein Lift,1310,1070,240,MONTHLY,7ff0e470-cbd9-423c-b905-f63e22e5e779.jpg,dc5bc712-c264-4421-9106-d8ea8fc3bfc0.jpg,36be492c-6046-437d-a778-65b1b63e2100.jpg,c8489793-c454-4023-9175-5b6367dfff95.jpg,59ab1014-4490-4278-b2f8-dcc7a324638b.jpg,Aussenansicht,Aussenansicht,Innenansicht,Innenansicht,Küche,,,,,,,,,,,,,wic,,,Bernet Sula,St. Leonhard-Str. 39,9001,St. Gallen,CH,071 421 69 69,,071 421 69 99,,,,,,"Mieterin Frau Manyambo, 078 752 54 99",,,a47589cd-3454-4396-842a-e13b2e2adcdd.jpg,6a381bde-0dba-4e08-b0cc-2264c6fc1918.jpg,679f93c0-3cb4-436c-b871-27ba5c51c89b.jpg,,Bad,Korridor,Grundriss,,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
INDUS,1,RENT,1853,Rue des Epancheurs 6,2000,Neuchâtel,NE,CH,Surface entièrement rénovée au centre-ville,- Bureau d'env. 100 m2 <br />- Air rafraîchi<br />- Faux plafonds avec éclairage intégré et règlable<br />- Local pour serveur<br />- Canaux de cables périphériques<br /><br />Possibilité de louer un dépôt au sous-sol<br /><br />Parking public �,,,,M2YEARLY,732b73fb-8658-469d-8778-df201f8c0771.jpg,b18f696a-fbef-4dac-b739-14bdbfefe785.jpg,a120b958-87c3-4b36-b2ac-fe4912ee5c97.jpg,489cff19-3bf3-4bc2-9231-9a0443b279c8.jpg,e7523203-bc31-49f3-97fd-896ea35596af.jpg,Vue intérieure,Vue intérieure,Vue intérieure,Vue intérieure,Vue intérieure,,,,,,,,,,,,,wic,,,Legio Giulia,Rue St-Honoré 2,2002,Neuchâtel,CH,032 432 63 05,,032 432 63 20,,,,,,Wincasa SA<br />Giulia Legio<br />Rue Saint-Honoré 2<br />2000 Neuchâtel<br /><br />Tél. 032 432 65 05<br />giulia.legio@wincasa.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,1,RENT,1854,Bahnhofstr. 23,8320,Fehraltorf,ZH,CH,Moderne Wohnung an idealer Lage,"- Moderne, offene Küche mit GS/GK und Granitabdeckung<br />- Bad/WC<br />- Dusche/WC<br />- grosser, sonniger Balkon 30m2<br />- Ganze Wohnung Parkett<br />- Küche und Nassräume Plattenbelag<br />- praktischer Abstellraum<br />- Eigenes Kellerabteil mi",2105,1835,270,MONTHLY,ee1c0223-1960-4891-8561-635fee00b61f.jpg,511dfcb2-e6c7-444b-9b66-35f7db855fc7.jpg,eb5a9757-769c-4ab2-a614-342f10bed1ef.jpg,e905c1a8-08a8-4418-b229-9f3c5f8249ce.jpg,aa40c16a-5977-4710-8a7f-0790d632f9de.jpg,Aussenansicht,Wohnzimmer,Küche,Bad,Bad,,,,,,,,,682778d8-da4b-4e26-b79f-4bd7c2edfbaa.pdf,Grundriss,,,wic,,,Rüegg Anina,Hintere Bahnhofstr. 2,8610,Uster,CH,044 403 25 03,,044 403 25 99,,,,,,"Anina Rüegg<br />Hintere Bahnhofstr. 2, 8610 Uster<br />Telefon: 044 403 25 03<br />Email:     anina.rueegg@wincasa.ch",,,ae5ac14f-a626-4314-b3c5-c513f1113d68.jpg,,,,Zimmer,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,Y,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,1,RENT,1855,Schulstr. 4a,9517,Mettlen,TG,CH,Kinder und Tiere wilkommen!,- Parkett in ganzer Wohnung<br />- Küche mit Glaskeramikherd<br />- Bad WC und sep. WC<br />- Bad/Dusche mit Doppellavabo<br />- Geschirrspüler<br />- Sitzplatz<br />- Gepflegte Umgebung mit viel Grün<br />- Parkmöglichkeiten dazumietbar<br /><br />(F,1470,1250,220,MONTHLY,5b2ac569-b61c-4322-bed4-9497da40b143.jpg,4972202b-752f-44f3-a24b-cd2a875aee63.jpg,241e4172-e0db-47bc-9061-3eb3ea9cf3bf.jpg,f9936e95-71b4-499c-8711-57609d44d6f6.jpg,b19af7d0-1ee1-4373-9cf2-45927e144b50.jpg,Aussenansicht,Aussenansicht,Innenansicht,Küche,Bad,,,,,,,,,,,,,wic,,,Bernet Sula,St. Leonhard-Str. 39,9001,St. Gallen,CH,071 421 69 69,,071 421 69 99,,,,,,"Wincasa AG, Herr Koller (zu Bürozeiten)<br />Tel. 071 421 69 22",,,419179ec-f88e-4f46-8813-37384b5257d2.jpg,8d7584d1-6111-472b-9efa-e37fa842e407.jpg,dd18e0e6-ba16-4c67-913a-8c9f9ed00361.jpg,,Balkon/Terrasse/Sitzplatz,Diverse,Grundriss,,,,,,,,,,,,,,,,,,,,,N,N,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,Y,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,1,RENT,1856,Maria-Stader-Weg 14,8590,Romanshorn,TG,CH,Unkompliziertes Wohnen in Seenähe,"Wenn Ihnen ein schönes Zuhause wichtig ist und Sie Wert auf hochwertige Materialien legen, fühlen Sie sich hier besonders wohl.<br /><br />Lage: <br />- Ruhige, sonnige Lage in Seenähe<br />- Schwimmbad nur 5 Minuten zu Fuss entfernt<br />- Schule, Einkauf und Bahnhof in nächster Nähe<br /><br />Ausstattung:<br />- Moderner, exklusiver Innenausbau<br />- Komfortable Küche mit Geschirrspüler und Glaskeramikherd<br />- Kühlschrank mit 3 Tiefkühlfächern<br />- Bodenbeläge Parkett<br />- Garderobe<br />- Badezimmer mit Badewanne sowie Fenster<br />- Gästetoilette mit Dusche<br />- Grosszügiger Schlaf- und Nasszellenbereich<br />- Parkmöglichkeit dazumietbar",1870,1590,280,MONTHLY,e4333c64-a117-4900-b625-d729834cdb59.jpg,a051355d-5ed1-4734-8684-ca9edbbdd46c.jpg,0d6f8935-16d3-4461-b1a7-9aad40e4755e.jpg,9b03028a-b1d6-4d57-98a9-44863227173c.jpg,de6d9c55-8288-4e1f-950b-516bf04f0cec.jpg,Aussenansicht,Aussenansicht,Innenansicht,Innenansicht,Innenansicht,,,,,,,,,,,,,wic,,,Bernet Sula,St. Leonhard-Str. 39,9001,St. Gallen,CH,071 421 69 69,,071 421 69 99,,,,,,"Wincasa AG, Hr. Koller (zu Bürozeiten)<br />Tel. 071 421 69 22",,,6fc9adea-1725-422b-9596-5c8552c7337d.jpg,c9d542f7-e2df-436d-b370-e20b64ea3ff3.jpg,1c758375-8dac-499f-9051-e925f417c033.jpg,5113a6d3-ce6d-4078-ab22-bb1f9af32fd5.jpg,Innenansicht,Küche,Bad,Bad,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,fd69f54a-1fbe-437a-b0f3-a266ca0e76e7.jpg,,,,Grundriss,,,,,,,,,,,,,,,,,,,N,N,N,,,Y,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,1,RENT,4,Ch. des Trois-Portes 65,2000,Neuchâtel,NE,CH,Location avec caution gratuite,- Cuisine agencée et habitable<br />- Salon avec cheminée et salle à manger communicante<br />- Quatre chambres avec parquet<br />- Une salle de bains avec baignoire<br />- Une salle d'eau avec douche<br />- Balcon avec vue sur le lac et les Alpes <br ,1900,1570,330,MONTHLY,5d142c45-ec0f-4b42-8b32-15f1facea5ba.jpg,e72a7721-e8b4-4808-8e5c-2ae6e3534f31.jpg,1722f37b-17aa-4200-bf68-84b61f24834a.jpg,e1266e1d-19ea-4f4d-82c3-ec0c6350c162.jpg,a877e594-6ec3-462a-aa4c-1a5370551e6f.jpg,Vue extérieure,Vue extérieure,Cuisine,Salle de bains,Couloir,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/bb74ca25-f6f9-4171-bb11-3a21699a85a7?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Agence Neuchâtel,Perret Fanny,Rue St-Honoré 2,2002,Neuchâtel,CH,032 432 63 06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,N,,N,N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,,N,N,N,,,N,Y,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,6,RENT,18,Ch. des Trois-Portes 65,2000,Neuchâtel,NE,CH,A louer comme dépôt ou bureau,- local d'environ 9m2 <br />- situé au 1er sous-sol d'un immeuble d'habitation,90,80,10,MONTHLY,eafa2c04-82e6-4e2c-86bb-f2b212bdcfc9.jpg,2886c0c7-6e4e-48ad-b9a0-2770e9fac430.jpg,,,,Vue extérieure,Pièce,,,,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/32f1a50e-d2ef-4e64-aa7e-99f0b5b3ec27?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Agence Neuchâtel,Perret Fanny,Rue St-Honoré 2,2002,Neuchâtel,CH,032 432 63 06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,N,,N,N,N,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,,N,N,N,,,N,Y,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,1,RENT,1,Ludwigstr. 5,9010,St. Gallen,SG,CH,Befristetes Wohnen bis 31.03.2019,"- Ruhige Lage<br />- Bushaltestelle 20 m entfernt<br />- Wohn-und Schlafzimmer Parkett<br />- Korridor mit Wandschrank<br />- Küche üblicher Komfort<br />- Bad/WC<br />- Gartensitzplatz<br /><br />(kein Grundriss vorhanden, Fotos einer typähnlichen Woh",1250,1000,250,MONTHLY,58dbab28-d37f-4b9c-8e89-1d061b6b7836.jpg,35efdd5c-0216-4133-aca9-2798c934393c.jpg,04a8b86f-b10c-4c95-b1d2-56d2ff836a25.jpg,69c2d9b5-8874-4993-848f-939df043a4fe.jpg,32dad8d6-8682-4b79-893d-1278ed9a4873.jpg,Aussenansicht,Innenansicht,Innenansicht,Küche,Bad,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/12bbb098-3de5-4dab-8686-90421e50b7a4?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Filiale St. Gallen,Bernet Sula,St. Leonhard-Str. 39,9001,St. Gallen,CH,071 421 69 69,,071 421 69 99,,,,,,"Wincasa AG, Frau Miller (zu Bürozeiten)<br />071 421 69 39",,,9f2a3836-3b21-4112-a3a6-fcd5fcb67ca9.jpg,,,,Korridor,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,Y,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,1,RENT,15,Seeblickstr. 9,9010,St. Gallen,SG,CH,Befristetes Wohnen bis 31.03.2019,"- Ruhige Lage<br />- Bushaltestelle 20 m entfernt<br />- Wohn-und Schlafzimmer Parkett<br />- Korridor mit Wandschrank<br />- Küche üblicher Komfort<br />- Bad/WC<br />- Balkon<br /><br />(kein Grundriss vorhanden, Fotos einer typähnlichen Wohnung)",1200,900,300,MONTHLY,9b580cec-be63-467a-bd1c-0823e6988ee2.jpg,80e3f3fd-1331-42c3-a24e-7a331f599537.jpg,d4edfe75-11ae-4897-bf58-2518cff9a108.jpg,b3314b74-b12a-4a6b-abab-9a39d67369c8.jpg,,Aussenansicht,Innenansicht,Küche,Bad,,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/917b7e83-2035-4b6c-b7a6-cfc72ba00df1?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Filiale St. Gallen,Bernet Sula,St. Leonhard-Str. 39,9001,St. Gallen,CH,071 421 69 69,,071 421 69 99,,,,,,"Wincasa AG, Frau Miller (zu Bürozeiten)<br />071 421 69 393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,Y,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,1,RENT,29,Türlimattstr. 6,8404,Winterthur,ZH,CH,Ihr neues Zuhause an ruhiger Lage «Mieten ohne Kaution»,- Die Ganze Wohnung wird neu gestrichen<br />- In den Schlafzimmern wird Parkett verlegt<br />- Helle Küche mit Gasherd und Geschirrspüler<br />- Badezimmer mit Badewanne<br />- Wandschrank im Korridor<br />- Balkon mit schöner Aussicht<br />- Grosser ,1910,1540,370,MONTHLY,45283f2d-dfb0-46bb-b36d-931c970a493d.jpg,d3695c54-9b5d-4fd0-a74d-50387df4ef32.jpg,075ab89c-6996-46e6-b680-c101d03cb7f0.jpg,e3a67a63-e389-4fff-ac20-3f528980c116.jpg,d5b688ab-05b5-48b0-b2b7-578cdf2daa23.jpg,Aussenansicht,Wohnzimmer,Küche,Bad,Zimmer,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/1dd355ab-ec21-404f-a489-54dd9a0e452b?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Filiale Winterthur,Elezi Esmina,Technikumstr. 61,8401,Winterthur,CH,052 268 88 38,,,,,,,,"Besichtigungstermin:<br />Mi 31.01.18, 17.00-18.00 Uhr<br />Bitte klingeln Sie bei Fam. Meier.",,,1e68fb16-6cc9-4532-8ebd-b00de7e4a312.jpg,,,,Balkon/Terrasse/Sitzplatz,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,N,N,N,,,N,Y,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
INDUS,5,RENT,420,Flurstr. 56,8048,Zürich,ZH,CH,Grosser Lagerraum in Altstetten mit Warenlift und Rampe,"Wir vermieten das Lager per 01.04.2018 oder nach Vereinbarung.<br /><br />Ausstattung:<br />- Waren- und Personenlift vorhanden<br />- Rampe vorhanden<br />- Im Dachgeschoss<br />- Nutzlast 600 kg/m2<br />- Betonboden<br />- Fenster<br />- In der Nähe vom Einkaufszentrum Letzipark und Bus-/Tramhaltestelle Kappeli<br /><br />Für eine Besichtigung bitten wir Sie um Kontaktaufnahme auf der Telefonnummer 044 241 31 53, Herr Villiger. Besten Dank.",110.9,,,M2YEARLY,05399761-1f46-4e92-923d-6531f158a704.jpg,6d68f79a-af2b-4477-b9dc-fae2626c51c9.jpg,effe08dd-0dee-4d15-bfb3-e08588613f8a.jpg,,,Aussenansicht,Aussenansicht,Grundriss,,,,,,,,,,,,,,,wic,,Wincasa Filiale Zürich,Sadriu Qendresa,Reitergasse 9,8021,Zürich,CH,044 277 67 66,,044 277 67 68,,,,,,"Herr Villiger, Telefon 044 241 31 53 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,Y,,Y,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,Y,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,1,RENT,4,Gallusstr. 7,9500,Wil SG,SG,CH,Wohnen ohne Kaution an bester Lage...,- moderne Küche mit Geschirrspüler und Glaskeramikherd<br />- schönes Bad<br />- Wohnzimmer Parkett<br />- Wandschränke für mehr Stauraum<br />- sonniger Balkon<br />- Einkaufsmöglichkeiten in unmittelbarer Nähe<br />- 3 Gehminuten bis zum Bahnhof ,1375,1140,235,MONTHLY,9394060f-a9e7-48e0-8097-88db295b42f5.jpg,9e67c9be-02b2-48c1-a96d-3a24946ad491.jpg,c4bc2d19-909b-4e0f-b303-4a70ba215a57.jpg,e81e9162-2ddb-48e0-9e7b-38694541cbe4.jpg,ff0aeb43-1d24-4dcf-adb5-46632323c711.jpg,Aussenansicht,Aussenansicht,Aussenansicht,Küche,Bad,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/5b7f3fa6-ad30-44c9-9928-092d18431bb9?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Filiale St. Gallen,Harzenmoser Alex,St. Leonhard-Str. 39,9001,St. Gallen,CH,071 421 69 31,,071 421 69 99,,,,,,,,,501659ae-91ce-483d-95f7-ca7c0b33b416.jpg,,,,Grundriss,,,,,,,,,,,,,,,,,,,,,,,Y,N,Y,N,,Y,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,Y,N,Y,,,N,Y,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
INDUS,1,RENT,4,Espacité 1,2300,La Chaux-de-Fonds,NE,CH,Dans la Tour Espacité,Surface d'environ 180m2 très lumineuse.<br /><br />Au 2ème étage.<br /><br />Actuellement répartie comme suit:<br /><br />- une réception<br />- 5 bureaux<br />- WC à usage privatif sur le palier<br /><br />Accès direct par ascenseur depuis le parking.,130.2,,,M2YEARLY,8d9cb237-2995-4b8a-8776-b72f22b1ce14.jpg,,,,,Vue extérieure,,,,,,,,,,,,,13d440eb-45fe-44f3-acfc-3f3d84801912.pdf,Plan d'ensemble,,,wic,,Wincasa Agence Neuchâtel,Chanson Mélanie,Rue St-Honoré 2,2002,Neuchâtel,CH,032 432 63 17,,032 432 63 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,N,,Y,N,N,N,1/24/2018 13:00,,,,,,,,,,,
INDUS,2,RENT,301,Espacité 3,2300,La Chaux-de-Fonds,NE,CH,Très bonne situation,"Nous vous proposons, au centre-ville de la Chaux-de-Fonds, une arcade d'environ 394 m2 au rez et 165 m2 de dépôt au sous-sol avec monte-charge.<br /><br />Belle situation.<br /><br />Important passage devant l'arcade. <br /><br />Cette surface est idéal pour toute activité administrative, commerciale.<br /><br />Vous avez également la possibilité de louer une place de parc dans le garage collectif. <br /><br />N'hésitez pas à nous contacter pour toutes informations que vous souhaiteriez.",,,,M2YEARLY,c4592f00-1d30-4c4f-8aee-507e13c63416.jpg,e5df4b59-799e-4afd-a073-f0341c0ed160.jpg,,,,Vue extérieure,Vue intérieure,,,,,,,,,,,,,,,,wic,,Wincasa Agence Neuchâtel,Chanson Mélanie,Rue St-Honoré 2,2002,Neuchâtel,CH,032 432 63 17,,032 432 63 20,,,,,,"Mélanie Chanson<br />Rue St-Honoré 2, 2002 Neuchâtel<br />Téléphone: 032 432 63 17<br />Fax/portable:   032 432 63 20<br />e-mail:     melanie.chanson@wincasa.ch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,N,,Y,N,N,N,1/24/2018 13:00,,,,,,,,,,,
PARK,1,RENT,152,Espacité 1-6 Parking intérieur,2300,La Chaux-de-Fonds,NE,CH,Place intérieure de nuit,Au centre-ville<br />Parking couvert,64,64,,MONTHLY,a08d79f3-b467-45ba-ad39-338349ce8880.jpg,,,,,Vue extérieure,,,,,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/92f7a351-11b2-4893-8191-385409595a16?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Agence Neuchâtel,L'Eplattenier Carol,Rue St-Honoré 2,2002,Neuchâtel,CH,032 432 63 23,,032 432 63 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,N,,Y,N,N,N,1/24/2018 13:00,,,,,,,,,,,
PARK,1,RENT,212,Espacité 1-6 Parking intérieur,2300,La Chaux-de-Fonds,NE,CH,Place de parc intérieure de nuit,Place de parc intérieure de 19h00 à 7h00,64,64,,MONTHLY,cb40a7f9-a0e7-48ed-90dc-1a9419594824.jpg,,,,,Vue extérieure,,,,,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/07c95506-07e6-4b9f-aecc-47cddd4555ed?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Agence Neuchâtel,L'Eplattenier Carol,Rue St-Honoré 2,2002,Neuchâtel,CH,032 432 63 23,,032 432 63 20,,,,,,"Monsieur Frund, au 079 957 95 59<br />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,N,,Y,N,N,N,1/24/2018 13:00,,,,,,,,,,,
